DOCID,tf
0071.html,1
0026.html,1
0030.html,1
0122.html,1
0088.html,1
0067.html,1
0118.html,1
0092.html,1
0084.html,1
0010.html,1
0047.html,1
0102.html,1
0114.html,1
0006.html,1
0007.html,1
0050.html,1
0115.html,1
0046.html,1
0103.html,1
0011.html,1
0085.html,1
0093.html,1
0119.html,1
0089.html,1
0066.html,1
0031.html,1
0027.html,1
0070.html,1
0094.html,1
0082.html,1
0128.html,1
0016.html,1
0104.html,1
0057.html,1
0112.html,1
0098.html,1
0077.html,1
0020.html,1
0036.html,1
0124.html,1
0061.html,1
0108.html,1
0109.html,1
0060.html,1
0037.html,1
0021.html,1
0099.html,1
0076.html,1
0056.html,1
0113.html,1
0040.html,1
0105.html,1
0017.html,1
0083.html,1
0129.html,1
0095.html,1
0002.html,1
0110.html,1
0055.html,1
0106.html,1
0043.html,1
0014.html,1
0080.html,1
0038.html,1
0079.html,1
0096.html,1
0018.html,1
0063.html,1
0126.html,1
0034.html,1
0022.html,1
0075.html,1
0130.html,1
0074.html,1
0023.html,1
0035.html,1
0062.html,1
0127.html,1
0019.html,1
0058.html,1
0078.html,1
0097.html,1
0039.html,1
0081.html,1
0107.html,1
0042.html,1
0111.html,1
0054.html,1
0003.html,1
0008.html,1
0049.html,1
0065.html,1
0120.html,1
0032.html,1
0024.html,1
0073.html,1
0004.html,1
0116.html,1
0053.html,1
0045.html,1
0012.html,1
0069.html,1
0086.html,1
0028.html,1
0090.html,1
0068.html,1
0087.html,1
0013.html,1
0101.html,1
0044.html,1
0117.html,1
0052.html,1
0005.html,1
0072.html,1
0025.html,1
0033.html,1
0064.html,1
0121.html,1
0048.html,1
0009.html,1
0038.html,1
0038.html,1
0047.html,1
0071.html,1
0092.html,1
0085.html,1
0104.html,1
0098.html,1
0017.html,1
0110.html,1
0079.html,1
0023.html,1
0039.html,1
0107.html,1
0045.html,1
0005.html,1
0072.html,1
0067.html,1
0046.html,1
0103.html,1
0011.html,1
0066.html,1
0082.html,1
0077.html,1
0056.html,1
0113.html,1
0105.html,1
0014.html,1
0019.html,1
0003.html,1
0120.html,1
0012.html,1
0028.html,1
0013.html,1
0052.html,1
0005.html,1
0033.html,1
0064.html,1
0121.html,1
0010.html,1
0085.html,1
0036.html,1
0095.html,1
0096.html,1
0063.html,1
0022.html,1
0065.html,1
0071.html,1
0092.html,1
0010.html,1
0102.html,1
0046.html,1
0103.html,1
0011.html,1
0085.html,1
0066.html,1
0082.html,1
0128.html,1
0104.html,1
0098.html,1
0077.html,1
0036.html,1
0056.html,1
0113.html,1
0105.html,1
0017.html,1
0095.html,1
0002.html,1
0110.html,1
0014.html,1
0079.html,1
0096.html,1
0022.html,1
0023.html,1
0019.html,1
0039.html,1
0107.html,1
0003.html,1
0065.html,1
0120.html,1
0024.html,1
0004.html,1
0053.html,1
0045.html,1
0012.html,1
0069.html,1
0028.html,1
0068.html,1
0013.html,1
0005.html,1
0072.html,1
0025.html,1
0033.html,1
0064.html,1
0121.html,1
0016.html,1
0046.html,1
0055.html,1
0034.html,1
0032.html,1
0053.html,1
0060.html,1
0092.html,1
0030.html,1
0031.html,1
0033.html,1
0054.html,1
0104.html,1
0103.html,1
0126.html,1
0025.html,1
0088.html,1
0048.html,1
0047.html,1
0044.html,1
0096.html,1
0040.html,1
0035.html,1
0012.html,1
0114.html,1
0081.html,1
0087.html,1
0089.html,1
0043.html,1
0073.html,1
0028.html,1
0013.html,1
0072.html,1
0027.html,1
0002.html,1
0097.html,1
0026.html,1
0115.html,1
0124.html,1
0109.html,1
0076.html,1
0129.html,1
0018.html,1
0075.html,1
0078.html,1
0111.html,1
0116.html,1
0086.html,1
0101.html,1
0112.html,1
0082.html,1
0024.html,1
0069.html,1
0118.html,1
0117.html,1
0063.html,1
0068.html,1
0020.html,1
0052.html,1
0110.html,1
0079.html,1
0099.html,1
0021.html,1
0049.html,1
0005.html,1
0130.html,1
0004.html,1
0014.html,1
0128.html,1
0066.html,1
0039.html,1
0083.html,1
0058.html,1
0084.html,1
0050.html,1
0090.html,1
0108.html,1
0057.html,1
0009.html,1
0061.html,1
0106.html,1
0074.html,1
0113.html,1
0107.html,1
0019.html,1
0070.html,1
0011.html,1
0094.html,1
0098.html,1
0077.html,1
0056.html,1
0105.html,1
0017.html,1
0022.html,1
0045.html,1
0064.html,1
0121.html,1
0042.html,1
0120.html,1
0065.html,1
0062.html,1
0003.html,1
0067.html,1
0119.html,1
0093.html,1
0010.html,1
0085.html,1
0122.html,1
0102.html,1
0023.html,1
0127.html,1
0036.html,1
0071.html,1
0006.html,1
0037.html,1
0095.html,1
0080.html,1
0038.html,1
0007.html,1
0008.html,1
0048.html,1
0113.html,1
0075.html,1
0047.html,1
0074.html,1
0049.html,1
0006.html,1
0031.html,1
0074.html,1
0085.html,1
0077.html,1
0020.html,1
0067.html,1
0094.html,1
0050.html,1
0038.html,1
0077.html,1
0113.html,1
0008.html,1
0080.html,1
0048.html,1
0046.html,3
0048.html,1
0093.html,1
0120.html,1
0087.html,1
0045.html,1
0043.html,9
0010.html,1
0011.html,1
0016.html,1
0099.html,1
0105.html,1
0095.html,1
0080.html,1
0079.html,1
0102.html,1
0114.html,3
0050.html,1
0098.html,1
0060.html,2
0014.html,1
0080.html,1
0018.html,1
0074.html,1
0062.html,1
0120.html,1
0118.html,1
0124.html,1
0120.html,1
0017.html,1
0031.html,1
0071.html,1
0026.html,3
0030.html,2
0118.html,3
0092.html,2
0047.html,1
0114.html,1
0006.html,5
0007.html,1
0046.html,5
0103.html,3
0011.html,3
0085.html,3
0093.html,2
0089.html,3
0066.html,2
0031.html,8
0027.html,2
0070.html,1
0082.html,1
0128.html,2
0104.html,4
0057.html,2
0098.html,2
0077.html,3
0020.html,4
0036.html,1
0124.html,1
0061.html,5
0109.html,1
0060.html,2
0037.html,2
0021.html,1
0099.html,2
0076.html,3
0113.html,1
0040.html,2
0105.html,1
0083.html,2
0129.html,2
0095.html,4
0002.html,1
0110.html,4
0014.html,1
0080.html,5
0038.html,5
0079.html,2
0018.html,4
0063.html,2
0126.html,1
0034.html,1
0075.html,1
0130.html,3
0074.html,3
0035.html,2
0062.html,2
0127.html,1
0019.html,3
0058.html,2
0097.html,1
0039.html,1
0081.html,1
0107.html,4
0111.html,2
0054.html,1
0003.html,2
0049.html,2
0065.html,3
0120.html,1
0032.html,2
0053.html,6
0045.html,4
0012.html,4
0069.html,2
0086.html,3
0028.html,4
0068.html,2
0087.html,2
0013.html,1
0044.html,2
0117.html,2
0052.html,1
0005.html,2
0072.html,4
0025.html,1
0064.html,3
0121.html,2
0048.html,1
0071.html,1
0026.html,1
0030.html,1
0122.html,1
0088.html,1
0067.html,1
0118.html,1
0092.html,1
0084.html,1
0010.html,1
0047.html,1
0102.html,1
0114.html,1
0006.html,1
0007.html,1
0050.html,1
0115.html,1
0046.html,1
0103.html,1
0011.html,1
0085.html,1
0093.html,1
0119.html,1
0089.html,1
0066.html,1
0031.html,1
0027.html,1
0070.html,1
0094.html,1
0082.html,1
0128.html,1
0016.html,1
0104.html,1
0057.html,1
0112.html,1
0098.html,1
0077.html,1
0020.html,1
0036.html,2
0124.html,1
0061.html,1
0108.html,2
0109.html,1
0060.html,2
0037.html,1
0021.html,1
0099.html,1
0076.html,2
0056.html,1
0113.html,1
0040.html,1
0105.html,1
0017.html,1
0083.html,1
0129.html,1
0095.html,1
0002.html,1
0110.html,1
0055.html,1
0106.html,1
0043.html,1
0014.html,1
0080.html,1
0038.html,2
0079.html,1
0096.html,1
0018.html,1
0063.html,1
0126.html,1
0034.html,1
0022.html,1
0075.html,1
0130.html,2
0074.html,1
0023.html,1
0035.html,1
0062.html,1
0127.html,1
0019.html,1
0058.html,1
0078.html,1
0097.html,1
0039.html,1
0081.html,1
0107.html,1
0042.html,1
0111.html,1
0054.html,1
0003.html,1
0008.html,1
0049.html,1
0065.html,1
0120.html,1
0032.html,1
0024.html,1
0073.html,2
0004.html,1
0116.html,1
0053.html,1
0045.html,1
0012.html,1
0069.html,2
0086.html,1
0028.html,1
0090.html,1
0068.html,1
0087.html,1
0013.html,1
0101.html,1
0044.html,1
0117.html,1
0052.html,1
0005.html,1
0072.html,1
0025.html,1
0033.html,1
0064.html,1
0121.html,2
0048.html,1
0009.html,1
0057.html,1
0049.html,2
0026.html,1
0020.html,2
0021.html,1
0055.html,1
0063.html,1
0049.html,1
0037.html,1
0038.html,1
0126.html,1
0114.html,1
0089.html,1
0104.html,2
0098.html,2
0105.html,3
0022.html,1
0084.html,1
0115.html,1
0078.html,1
0093.html,1
0022.html,1
0084.html,1
0065.html,1
0097.html,1
0030.html,1
0027.html,1
0075.html,1
0061.html,1
0020.html,3
0083.html,1
0096.html,1
0012.html,2
0006.html,1
0071.html,1
0026.html,1
0030.html,1
0122.html,1
0088.html,1
0067.html,1
0118.html,1
0092.html,1
0084.html,1
0010.html,1
0047.html,1
0102.html,1
0114.html,1
0006.html,1
0007.html,1
0050.html,1
0115.html,1
0046.html,1
0103.html,1
0011.html,1
0085.html,1
0093.html,1
0119.html,1
0089.html,1
0066.html,1
0031.html,1
0027.html,1
0070.html,1
0094.html,1
0082.html,1
0128.html,1
0016.html,2
0104.html,1
0057.html,1
0112.html,1
0098.html,1
0077.html,1
0020.html,1
0036.html,1
0124.html,1
0061.html,2
0108.html,1
0109.html,1
0060.html,1
0037.html,1
0021.html,1
0099.html,1
0076.html,1
0056.html,1
0113.html,2
0040.html,1
0105.html,1
0017.html,1
0083.html,1
0129.html,1
0095.html,1
0002.html,1
0110.html,1
0055.html,1
0106.html,1
0043.html,1
0014.html,1
0080.html,1
0038.html,1
0079.html,1
0096.html,1
0018.html,1
0063.html,1
0126.html,1
0034.html,1
0022.html,1
0075.html,1
0130.html,1
0074.html,1
0023.html,2
0035.html,1
0062.html,1
0127.html,1
0019.html,1
0058.html,1
0078.html,1
0097.html,1
0039.html,1
0081.html,1
0107.html,1
0042.html,2
0111.html,1
0054.html,2
0003.html,1
0008.html,1
0049.html,1
0065.html,1
0120.html,1
0032.html,1
0024.html,1
0073.html,1
0004.html,1
0116.html,1
0053.html,1
0045.html,1
0012.html,1
0069.html,1
0086.html,1
0028.html,1
0090.html,1
0068.html,1
0087.html,1
0013.html,1
0101.html,1
0044.html,1
0117.html,1
0052.html,1
0005.html,1
0072.html,1
0025.html,1
0033.html,1
0064.html,1
0121.html,1
0048.html,1
0009.html,1
0016.html,1
0060.html,1
0113.html,1
0079.html,1
0063.html,1
0077.html,1
0060.html,2
0089.html,1
0129.html,1
0014.html,1
0130.html,1
0049.html,1
0004.html,1
0116.html,1
0101.html,1
0084.html,1
0065.html,1
0060.html,1
0081.html,1
0020.html,1
0021.html,1
0027.html,1
0060.html,1
0080.html,1
