Term,df,offset
 ,120,0
#1,1,120
#2,1,121
#223,1,122
+1,14,123
+2,22,137
+3,8,159
+4,48,167
",1939,1939,1987,201,957,2070",1,215
",1957,1957,1987,1957,4",1,216
",1970,1970,1987,600,000",1,217
",1972,1972,1972,1987,919,967,2225",1,218
",1973,1973,1987,1973",1,219
",1975,1975,1987,1975,100,98,0,4",1,220
",1977,1977,1987,60,2001,2001,90,2077",1,221
",1978,1978,1987,1977,4",1,222
",1980,1980,1987,1957,1976,1971,1981,1943,1941,1939,1944",1,223
",1980,1980,1987,1971,1980,1965",1,224
",1980,1980,1987,5,4,919,967,2225",1,225
",1983,1983,1987,10,10,8,0",1,226
",1985,1985,1986,1951,1958,1960,58,60,50,1,2,3,4,1,2,3,4,4",1,227
",1985,1985,1986,1986,4,4",1,228
",1985,1985,1987",1,229
",1985,1985,1987,1950,98,1,4",1,230
",1985,1985,1987,1982",1,231
",1985,1985,1987,1985,5",1,232
",1985,1985,1987,1986",1,233
",1985,1985,1987,1986,15,1966,1966,1",1,234
",1986,1986,1986,1986,1986,4",1,235
",1986,1986,1987",2,236
",1986,1986,1987,1859,1859,4",1,238
",1986,1986,1987,1984",1,239
",1986,1986,1987,1986",1,240
",1986,1986,1987,1986,1950",1,241
",1986,1986,1987,1986,3,50",1,242
",1986,1986,1987,1986,31,1,50",1,243
",1986,1986,1987,1986,50,4,50",1,244
",1986,1986,1987,4",3,245
",1986,1986,1987,50",1,248
",1986,1986,2,10,2,11,1987,2,4",1,249
",1986,1986,40,57,50,1986,6,4,10,3,101,18,4,4,0,0,4",1,250
",1987,1987,1987",13,251
",1987,1987,1987,0,10,10",1,264
",1987,1987,1987,0,4",3,265
",1987,1987,1987,007,5,50",1,268
",1987,1987,1987,1,2,2,18",1,269
",1987,1987,1987,1,2,3,4,5,6,7,8,9,10,30",1,270
",1987,1987,1987,1,4",1,271
",1987,1987,1987,10",1,272
",1987,1987,1987,10,2,20,30,4,4",1,273
",1987,1987,1987,12,18,4",1,274
",1987,1987,1987,120,1,25,50,4",1,275
",1987,1987,1987,14",1,276
",1987,1987,1987,16",1,277
",1987,1987,1987,1942,1928,5,2,50,1986,1986,2,50,1986,1,2,3,4,3,4,30",1,278
",1987,1987,1987,1943,40,4",1,279
",1987,1987,1987,1954,1954",1,280
",1987,1987,1987,1955,1,4,2,015,92093,619,534,5996,619,457,1274",1,281
",1987,1987,1987,1962,4",1,282
",1987,1987,1987,1963,1964,1964,1964,1965,1965,1966,50,60,80,50,60,0,4",1,283
",1987,1987,1987,1967,4",1,284
",1987,1987,1987,1980,4",1,285
",1987,1987,1987,1986",1,286
",1987,1987,1987,1986,1986,1940,1950,1987,1987,1986",1,287
",1987,1987,1987,1987",3,288
",1987,1987,1987,1987,13",1,291
",1987,1987,1987,1987,16",1,292
